Array Size,Identical Percentage,Quick Sort Time (Median of Three),Quick Sort Time (Random),Merge Sort Time,Insertion Sort Time
1000,0,0.00358,0.00761,0.00173,0.02111
1000,10,0.00261,0.00777,0.00175,0.02103
1000,20,0.00495,0.01018,0.00174,0.02044
1000,30,0.00867,0.01417,0.00174,0.01875
1000,40,0.01411,0.01994,0.00183,0.01945
1000,50,0.02088,0.02656,0.00181,0.01645
1000,60,0.02973,0.03555,0.00173,0.01443
1000,70,0.04024,0.04603,0.00174,0.01187
1000,80,0.05174,0.05764,0.00174,0.00839
1000,90,0.06442,0.07169,0.00171,0.00423
1000,100,0.07912,0.08624,0.00152,0.0001
2000,0,0.00388,0.01376,0.00378,0.09393
2000,10,0.00693,0.01721,0.00399,0.08689
2000,20,0.01617,0.02704,0.00381,0.08339
2000,30,0.03213,0.04345,0.00396,0.07949
2000,40,0.05342,0.06678,0.00382,0.07332
2000,50,0.08209,0.09541,0.00382,0.06693
2000,60,0.11934,0.13176,0.00378,0.05509
2000,70,0.15914,0.17177,0.00376,0.04442
2000,80,0.20566,0.22015,0.00372,0.03113
2000,90,0.26358,0.27563,0.0039,0.01645
2000,100,0.31936,0.3328,0.00322,0.0002
3000,0,0.00592,0.02115,0.00602,0.19719
3000,10,0.0134,0.02868,0.00603,0.20202
3000,20,0.03511,0.05123,0.00609,0.19166
3000,30,0.07051,0.08651,0.00602,0.18256
3000,40,0.12074,0.14104,0.00606,0.16626
3000,50,0.18878,0.20444,0.00609,0.14623
3000,60,0.26444,0.28198,0.00605,0.1234
3000,70,0.35823,0.37656,0.00601,0.09852
3000,80,0.47032,0.47991,0.0059,0.06719
3000,90,0.58549,0.61161,0.00583,0.03804
3000,100,NA,NA,0.00513,0.00032
4000,0,0.00837,0.02794,0.00829,0.34985
4000,10,0.02146,0.04221,0.0083,0.34833
4000,20,0.06066,0.08263,0.00837,0.34516
4000,30,0.122,0.14458,0.00828,0.32285
4000,40,0.21185,0.23531,0.00824,0.29708
4000,50,0.32563,0.34946,0.00825,0.26341
4000,60,0.4698,0.494,0.00822,0.22612
4000,70,0.63556,0.65991,0.0083,0.18217
4000,80,NA,NA,0.00817,0.12713
4000,90,NA,NA,0.00799,0.06862
4000,100,NA,NA,0.007,0.00041
5000,0,0.01054,0.03521,0.01237,0.55582
5000,10,0.03118,0.05674,0.01073,0.55868
5000,20,0.09113,0.12003,0.01083,0.53564
5000,30,0.20064,0.21876,0.0107,0.49699
5000,40,0.3301,0.36094,0.01067,0.48157
5000,50,0.51344,0.54195,0.01068,0.41896
5000,60,NA,NA,0.01065,0.36109
5000,70,NA,NA,0.0107,0.29084
5000,80,NA,NA,0.01047,0.20013
5000,90,NA,NA,0.01033,0.10911
5000,100,NA,NA,0.00895,0.00052
6000,0,0.0129,0.04251,0.01296,0.78606
6000,10,0.0414,0.07398,0.01299,0.78872
6000,20,0.12726,0.16438,0.013,0.76305
6000,30,0.27279,0.30526,0.01302,0.72406
6000,40,0.47114,0.507,0.01299,0.67343
6000,50,NA,NA,0.01379,0.59907
6000,60,NA,NA,0.01292,0.50094
6000,70,NA,NA,0.01284,0.40593
6000,80,NA,NA,0.01277,0.29478
6000,90,NA,NA,0.01255,0.15136
6000,100,NA,NA,0.01089,0.00065
7000,0,0.01462,0.04997,0.01534,1.06768
7000,10,0.05484,0.09159,0.01538,1.08315
7000,20,0.17536,0.21624,0.01547,1.05982
7000,30,0.37227,0.41071,0.01575,1.00007
7000,40,0.65378,0.68282,0.01536,0.93236
7000,50,NA,NA,0.01544,0.81232
7000,60,NA,NA,0.01528,0.70089
7000,70,NA,NA,0.01519,0.54835
7000,80,NA,NA,0.01508,0.38712
7000,90,NA,NA,0.01487,0.20457
7000,100,NA,NA,0.0128,0.0007
8000,0,0.01695,0.0578,0.01772,1.40556
8000,10,0.06907,0.11049,0.01773,1.42053
8000,20,0.22307,0.26465,0.01775,1.36742
8000,30,0.49207,0.53077,0.01774,1.2956
8000,40,NA,NA,0.0178,1.18244
8000,50,NA,NA,0.01768,1.06039
8000,60,NA,NA,0.01763,0.89985
8000,70,NA,NA,0.01759,0.72504
8000,80,NA,NA,0.01743,0.50941
8000,90,NA,NA,0.01721,0.26646
8000,100,NA,NA,0.01496,0.00084
9000,0,0.01937,0.06625,0.02046,1.77999
9000,10,0.08512,0.13194,0.02046,1.77162
9000,20,0.28226,0.32846,0.02041,1.72845
9000,30,0.60145,0.65211,0.02039,1.62035
9000,40,NA,NA,0.02038,1.48477
9000,50,NA,NA,0.02034,1.32743
9000,60,NA,NA,0.02022,1.13947
9000,70,NA,NA,0.02014,0.90504
9000,80,NA,NA,0.01994,0.63425
9000,90,NA,NA,0.01971,0.34687
9000,100,NA,NA,0.01705,0.00098
10000,0,0.0216,0.07169,0.02294,2.18972
10000,10,0.10304,0.15666,0.02298,2.2449
10000,20,0.34301,0.39859,0.02292,2.13715
10000,30,NA,NA,0.0229,2.00798
10000,40,NA,NA,0.02285,1.8682
10000,50,NA,NA,0.02277,1.66628
10000,60,NA,NA,0.02267,1.43128
10000,70,NA,NA,0.02258,1.12105
10000,80,NA,NA,0.02242,0.80799
10000,90,NA,NA,0.02219,0.43848
10000,100,NA,NA,0.01906,0.00106
